year,month,decimal_date,co2_ppm,data_source,measurement_type
1958,3,1958.2027,315.71,NOAA_Mauna_Loa,atmospheric_direct
1958,4,1958.2877,317.45,NOAA_Mauna_Loa,atmospheric_direct
1958,5,1958.3699,317.51,NOAA_Mauna_Loa,atmospheric_direct
1958,6,1958.4548,317.27,NOAA_Mauna_Loa,atmospheric_direct
1958,7,1958.537,315.87,NOAA_Mauna_Loa,atmospheric_direct
1958,8,1958.6219,314.93,NOAA_Mauna_Loa,atmospheric_direct
1958,9,1958.7068,313.21,NOAA_Mauna_Loa,atmospheric_direct
1958,10,1958.789,312.42,NOAA_Mauna_Loa,atmospheric_direct
1958,11,1958.874,313.33,NOAA_Mauna_Loa,atmospheric_direct
1958,12,1958.9562,314.67,NOAA_Mauna_Loa,atmospheric_direct
1959,1,1959.0411,315.58,NOAA_Mauna_Loa,atmospheric_direct
1959,2,1959.126,316.49,NOAA_Mauna_Loa,atmospheric_direct
1959,3,1959.2027,316.65,NOAA_Mauna_Loa,atmospheric_direct
1959,4,1959.2877,317.72,NOAA_Mauna_Loa,atmospheric_direct
1959,5,1959.3699,318.29,NOAA_Mauna_Loa,atmospheric_direct
1959,6,1959.4548,318.15,NOAA_Mauna_Loa,atmospheric_direct
1959,7,1959.537,316.54,NOAA_Mauna_Loa,atmospheric_direct
1959,8,1959.6219,314.8,NOAA_Mauna_Loa,atmospheric_direct
1959,9,1959.7068,313.84,NOAA_Mauna_Loa,atmospheric_direct
1959,10,1959.789,313.33,NOAA_Mauna_Loa,atmospheric_direct
1959,11,1959.874,314.81,NOAA_Mauna_Loa,atmospheric_direct
1959,12,1959.9562,315.58,NOAA_Mauna_Loa,atmospheric_direct
1960,1,1960.041,316.43,NOAA_Mauna_Loa,atmospheric_direct
1960,2,1960.1257,316.98,NOAA_Mauna_Loa,atmospheric_direct
1960,3,1960.2049,317.58,NOAA_Mauna_Loa,atmospheric_direct
1960,4,1960.2896,319.03,NOAA_Mauna_Loa,atmospheric_direct
1960,5,1960.3716,320.03,NOAA_Mauna_Loa,atmospheric_direct
1960,6,1960.4563,319.58,NOAA_Mauna_Loa,atmospheric_direct
1960,7,1960.5383,318.18,NOAA_Mauna_Loa,atmospheric_direct
1960,8,1960.623,315.9,NOAA_Mauna_Loa,atmospheric_direct
1960,9,1960.7077,314.17,NOAA_Mauna_Loa,atmospheric_direct
1960,10,1960.7896,313.83,NOAA_Mauna_Loa,atmospheric_direct
1960,11,1960.8743,315.0,NOAA_Mauna_Loa,atmospheric_direct
1960,12,1960.9563,316.19,NOAA_Mauna_Loa,atmospheric_direct
1961,1,1961.0411,316.89,NOAA_Mauna_Loa,atmospheric_direct
1961,2,1961.126,317.7,NOAA_Mauna_Loa,atmospheric_direct
1961,3,1961.2027,318.54,NOAA_Mauna_Loa,atmospheric_direct
1961,4,1961.2877,319.48,NOAA_Mauna_Loa,atmospheric_direct
1961,5,1961.3699,320.58,NOAA_Mauna_Loa,atmospheric_direct
1961,6,1961.4548,319.77,NOAA_Mauna_Loa,atmospheric_direct
1961,7,1961.537,318.56,NOAA_Mauna_Loa,atmospheric_direct
1961,8,1961.6219,316.79,NOAA_Mauna_Loa,atmospheric_direct
1961,9,1961.7068,314.99,NOAA_Mauna_Loa,atmospheric_direct
1961,10,1961.789,315.31,NOAA_Mauna_Loa,atmospheric_direct
1961,11,1961.874,316.1,NOAA_Mauna_Loa,atmospheric_direct
1961,12,1961.9562,317.01,NOAA_Mauna_Loa,atmospheric_direct
1962,1,1962.0411,317.94,NOAA_Mauna_Loa,atmospheric_direct
1962,2,1962.126,318.55,NOAA_Mauna_Loa,atmospheric_direct
1962,3,1962.2027,319.68,NOAA_Mauna_Loa,atmospheric_direct
1962,4,1962.2877,320.57,NOAA_Mauna_Loa,atmospheric_direct
1962,5,1962.3699,321.02,NOAA_Mauna_Loa,atmospheric_direct
1962,6,1962.4548,320.62,NOAA_Mauna_Loa,atmospheric_direct
1962,7,1962.537,319.61,NOAA_Mauna_Loa,atmospheric_direct
1962,8,1962.6219,317.4,NOAA_Mauna_Loa,atmospheric_direct
1962,9,1962.7068,316.24,NOAA_Mauna_Loa,atmospheric_direct
1962,10,1962.789,315.42,NOAA_Mauna_Loa,atmospheric_direct
1962,11,1962.874,316.69,NOAA_Mauna_Loa,atmospheric_direct
1962,12,1962.9562,317.7,NOAA_Mauna_Loa,atmospheric_direct
1963,1,1963.0411,318.74,NOAA_Mauna_Loa,atmospheric_direct
1963,2,1963.126,319.07,NOAA_Mauna_Loa,atmospheric_direct
1963,3,1963.2027,319.86,NOAA_Mauna_Loa,atmospheric_direct
1963,4,1963.2877,321.38,NOAA_Mauna_Loa,atmospheric_direct
1963,5,1963.3699,322.24,NOAA_Mauna_Loa,atmospheric_direct
1963,6,1963.4548,321.49,NOAA_Mauna_Loa,atmospheric_direct
1963,7,1963.537,319.74,NOAA_Mauna_Loa,atmospheric_direct
1963,8,1963.6219,317.77,NOAA_Mauna_Loa,atmospheric_direct
1963,9,1963.7068,316.21,NOAA_Mauna_Loa,atmospheric_direct
1963,10,1963.789,315.99,NOAA_Mauna_Loa,atmospheric_direct
1963,11,1963.874,317.07,NOAA_Mauna_Loa,atmospheric_direct
1963,12,1963.9562,318.35,NOAA_Mauna_Loa,atmospheric_direct
1964,1,1964.041,319.57,NOAA_Mauna_Loa,atmospheric_direct
1964,2,1964.1257,320.04,NOAA_Mauna_Loa,atmospheric_direct
1964,3,1964.2049,320.75,NOAA_Mauna_Loa,atmospheric_direct
1964,4,1964.2896,321.84,NOAA_Mauna_Loa,atmospheric_direct
1964,5,1964.3716,322.25,NOAA_Mauna_Loa,atmospheric_direct
1964,6,1964.4563,321.89,NOAA_Mauna_Loa,atmospheric_direct
1964,7,1964.5383,320.44,NOAA_Mauna_Loa,atmospheric_direct
1964,8,1964.623,318.69,NOAA_Mauna_Loa,atmospheric_direct
1964,9,1964.7077,316.71,NOAA_Mauna_Loa,atmospheric_direct
1964,10,1964.7896,316.87,NOAA_Mauna_Loa,atmospheric_direct
1964,11,1964.8743,317.68,NOAA_Mauna_Loa,atmospheric_direct
1964,12,1964.9563,318.71,NOAA_Mauna_Loa,atmospheric_direct
1965,1,1965.0411,319.44,NOAA_Mauna_Loa,atmospheric_direct
1965,2,1965.126,320.44,NOAA_Mauna_Loa,atmospheric_direct
1965,3,1965.2027,320.89,NOAA_Mauna_Loa,atmospheric_direct
1965,4,1965.2877,322.14,NOAA_Mauna_Loa,atmospheric_direct
1965,5,1965.3699,322.17,NOAA_Mauna_Loa,atmospheric_direct
1965,6,1965.4548,321.87,NOAA_Mauna_Loa,atmospheric_direct
1965,7,1965.537,321.21,NOAA_Mauna_Loa,atmospheric_direct
1965,8,1965.6219,318.87,NOAA_Mauna_Loa,atmospheric_direct
1965,9,1965.7068,317.82,NOAA_Mauna_Loa,atmospheric_direct
1965,10,1965.789,317.3,NOAA_Mauna_Loa,atmospheric_direct
1965,11,1965.874,318.87,NOAA_Mauna_Loa,atmospheric_direct
1965,12,1965.9562,319.42,NOAA_Mauna_Loa,atmospheric_direct
1966,1,1966.0411,320.62,NOAA_Mauna_Loa,atmospheric_direct
1966,2,1966.126,321.6,NOAA_Mauna_Loa,atmospheric_direct
1966,3,1966.2027,322.39,NOAA_Mauna_Loa,atmospheric_direct
1966,4,1966.2877,323.7,NOAA_Mauna_Loa,atmospheric_direct
1966,5,1966.3699,324.08,NOAA_Mauna_Loa,atmospheric_direct
1966,6,1966.4548,323.75,NOAA_Mauna_Loa,atmospheric_direct
